species,group
Abarema_abbottii,Angiosperm
Abarema_acreana,Angiosperm
Abarema_adenophora,Angiosperm
Abarema_alexandri,Angiosperm
Abarema_asplenifolia,Angiosperm
Abarema_auriculata,Angiosperm
Abarema_barbouriana,Angiosperm
Abarema_brachystachya,Angiosperm
Abarema_callejasii,Angiosperm
Abarema_campestris,Angiosperm
Abarema_centiflora,Angiosperm
Abarema_cochleata,Angiosperm
Abarema_cochliocarpos,Angiosperm
Abarema_commutata,Angiosperm
Abarema_curvicarpa,Angiosperm
Abarema_ferruginea,Angiosperm
Abarema_filamentosa,Angiosperm
Abarema_floribunda,Angiosperm
Abarema_gallorum,Angiosperm
Abarema_ganymedea,Angiosperm
Abarema_glauca,Angiosperm
Abarema_idiopoda,Angiosperm
Abarema_josephi,Angiosperm
Abarema_jupunba,Angiosperm
Abarema_killipii,Angiosperm
Abarema_laeta,Angiosperm
Abarema_langsdorffii,Angiosperm
Abarema_lehmannii,Angiosperm
Abarema_leucophylla,Angiosperm
Abarema_levelii,Angiosperm
Abarema_longipedunculata,Angiosperm
Abarema_macradenia,Angiosperm
Abarema_mataybifolia,Angiosperm
Abarema_microcalyx,Angiosperm
Abarema_nipensis,Angiosperm
Abarema_obovalis,Angiosperm
Abarema_obovata,Angiosperm
Abarema_oppositifolia,Angiosperm
Abarema_oxyphyllidia,Angiosperm
Abarema_racemiflora,Angiosperm
Abarema_turbinata,Angiosperm
Abarema_villifera,Angiosperm
Abarema_zolleriana,Angiosperm
Abatia_mexicana,Angiosperm
Abatia_parviflora,Angiosperm
Abatia_rugosa,Angiosperm
Abatia_spicata,Angiosperm
Abelia_tyaihyoni,Angiosperm
Abeliophyllum_distichum,Angiosperm
Abrahamia_deflexa,Angiosperm
Abrahamia_ditimena,Angiosperm
Abrahamia_grandidieri,Angiosperm
Abrahamia_humbertii,Angiosperm
Abrahamia_latifolia,Angiosperm
Abrahamia_lecomtei,Angiosperm
Abrahamia_louvelii,Angiosperm
Abrahamia_oblongifolia,Angiosperm
Abrahamia_sericea,Angiosperm
Abrahamia_thouvenotii,Angiosperm
Abrahamia_viguieri,Angiosperm
Abuta_grandifolia,Angiosperm
Abuta_grisebachii,Angiosperm
Abuta_imene,Angiosperm
Abuta_panurensis,Angiosperm
Abuta_rufescens,Angiosperm
Abuta_sandwithiana,Angiosperm
Abuta_seemannii,Angiosperm
Abuta_velutina,Angiosperm
Abutilon_giganteum,Angiosperm
Abutilon_grandidentatum,Angiosperm
Abutilon_haenkeanum,Angiosperm
Abutilon_herzogianum,Angiosperm
Abutilon_incanum,Angiosperm
Abutilon_peruvianum,Angiosperm
Abutilon_purpusii,Angiosperm
Abutilon_pyramidale,Angiosperm
Abutilon_sachetianum,Angiosperm
Abutilon_stenopetalum,Angiosperm
Abutilon_thyrsodendron,Angiosperm
Abutilon_venosum,Angiosperm
Acacia_acradenia,Angiosperm
Acacia_acrionastes,Angiosperm
Acacia_acuminata,Angiosperm
Acacia_adsurgens,Angiosperm
Acacia_adunca,Angiosperm
Acacia_aestivalis,Angiosperm
Acacia_alleniana,Angiosperm
Acacia_amblyophylla,Angiosperm
Acacia_amentacea,Angiosperm
Acacia_ammobia,Angiosperm
Acacia_ammophila,Angiosperm
Acacia_amoena,Angiosperm
Acacia_ampliata,Angiosperm
Acacia_ampliceps,Angiosperm
Acacia_anastema,Angiosperm
Acacia_anaticeps,Angiosperm
Acacia_ancistrocarpa,Angiosperm
Acacia_aneura,Angiosperm
Acacia_anfractuosa,Angiosperm
Acacia_angusta,Angiosperm
Acacia_anisophylla,Angiosperm
Acacia_anthochaera,Angiosperm
Acacia_aprepta,Angiosperm
Acacia_aptaneura,Angiosperm
Acacia_arafurica,Angiosperm
Acacia_araneosa,Angiosperm
Acacia_arenaria,Angiosperm
Acacia_areolata,Angiosperm
Acacia_argyrodendron,Angiosperm
Acacia_armillata,Angiosperm
Acacia_armitii,Angiosperm
Acacia_asak,Angiosperm
Acacia_assimilis,Angiosperm
Acacia_atopa,Angiosperm
Acacia_attenuata,Angiosperm
Acacia_aulacocarpa,Angiosperm
Acacia_auriculiformis,Angiosperm
Acacia_auripila,Angiosperm
Acacia_ausfeldii,Angiosperm
Acacia_axillaris,Angiosperm
Acacia_ayersiana,Angiosperm
Acacia_baileyana,Angiosperm
Acacia_bakeri,Angiosperm
Acacia_bancroftiorum,Angiosperm
Acacia_barrettiorum,Angiosperm
Acacia_beauverdiana,Angiosperm
Acacia_binervata,Angiosperm
