species,inGTS16,inGTS16TNRS,delete
Abarema_abbottii,TRUE,TRUE,FALSE
Abarema_acreana,TRUE,TRUE,FALSE
Abarema_adenophora,TRUE,TRUE,FALSE
Abarema_alexandri,TRUE,TRUE,FALSE
Abarema_asplenifolia,TRUE,TRUE,FALSE
Abarema_auriculata,TRUE,TRUE,FALSE
Abarema_barbouriana,TRUE,TRUE,FALSE
Abarema_brachystachya,TRUE,TRUE,FALSE
Abarema_callejasii,TRUE,TRUE,FALSE
Abarema_campestris,TRUE,TRUE,FALSE
Abarema_centiflora,TRUE,TRUE,FALSE
Abarema_cochleata,TRUE,TRUE,FALSE
Abarema_cochliocarpos,TRUE,TRUE,FALSE
Abarema_commutata,TRUE,TRUE,FALSE
Abarema_curvicarpa,TRUE,TRUE,FALSE
Abarema_ferruginea,TRUE,TRUE,FALSE
Abarema_filamentosa,TRUE,TRUE,FALSE
Abarema_floribunda,TRUE,TRUE,FALSE
Abarema_gallorum,TRUE,TRUE,FALSE
Abarema_ganymedea,TRUE,TRUE,FALSE
Abarema_glauca,TRUE,TRUE,FALSE
Abarema_idiopoda,TRUE,TRUE,FALSE
Abarema_josephi,TRUE,TRUE,FALSE
Abarema_jupunba,TRUE,TRUE,FALSE
Abarema_killipii,TRUE,TRUE,FALSE
Abarema_laeta,TRUE,TRUE,FALSE
Abarema_langsdorffii,TRUE,TRUE,FALSE
Abarema_lehmannii,TRUE,TRUE,FALSE
Abarema_leucophylla,TRUE,TRUE,FALSE
Abarema_levelii,TRUE,TRUE,FALSE
Abarema_longipedunculata,TRUE,TRUE,FALSE
Abarema_macradenia,TRUE,TRUE,FALSE
Abarema_mataybifolia,TRUE,TRUE,FALSE
Abarema_microcalyx,TRUE,TRUE,FALSE
Abarema_nipensis,TRUE,TRUE,FALSE
Abarema_obovalis,TRUE,TRUE,FALSE
Abarema_obovata,FALSE,FALSE,TRUE
Abarema_oppositifolia,TRUE,TRUE,FALSE
Abarema_oxyphyllidia,TRUE,TRUE,FALSE
Abarema_racemiflora,TRUE,TRUE,FALSE
Abarema_turbinata,TRUE,TRUE,FALSE
Abarema_villifera,TRUE,TRUE,FALSE
Abarema_zolleriana,TRUE,TRUE,FALSE
Abatia_mexicana,TRUE,TRUE,FALSE
Abatia_parviflora,TRUE,TRUE,FALSE
Abatia_rugosa,TRUE,TRUE,FALSE
Abatia_spicata,TRUE,TRUE,FALSE
Abelia_tyaihyoni,FALSE,FALSE,TRUE
Abeliophyllum_distichum,FALSE,FALSE,TRUE
Abrahamia_deflexa,TRUE,TRUE,FALSE
Abrahamia_ditimena,TRUE,TRUE,FALSE
Abrahamia_grandidieri,TRUE,TRUE,FALSE
Abrahamia_humbertii,TRUE,TRUE,FALSE
Abrahamia_latifolia,TRUE,TRUE,FALSE
Abrahamia_lecomtei,TRUE,TRUE,FALSE
Abrahamia_louvelii,TRUE,TRUE,FALSE
Abrahamia_oblongifolia,TRUE,TRUE,FALSE
Abrahamia_sericea,TRUE,TRUE,FALSE
Abrahamia_thouvenotii,TRUE,TRUE,FALSE
Abrahamia_viguieri,TRUE,TRUE,FALSE
Abuta_grandifolia,TRUE,TRUE,FALSE
Abuta_grisebachii,TRUE,TRUE,FALSE
Abuta_imene,TRUE,TRUE,FALSE
Abuta_panurensis,TRUE,TRUE,FALSE
Abuta_rufescens,TRUE,TRUE,FALSE
Abuta_sandwithiana,TRUE,TRUE,FALSE
Abuta_seemannii,FALSE,FALSE,TRUE
Abuta_velutina,TRUE,TRUE,FALSE
Abutilon_giganteum,TRUE,TRUE,FALSE
Abutilon_grandidentatum,TRUE,TRUE,FALSE
Abutilon_haenkeanum,TRUE,TRUE,FALSE
Abutilon_herzogianum,TRUE,TRUE,FALSE
Abutilon_incanum,TRUE,TRUE,FALSE
Abutilon_peruvianum,TRUE,TRUE,FALSE
Abutilon_purpusii,TRUE,TRUE,FALSE
Abutilon_pyramidale,FALSE,FALSE,TRUE
Abutilon_sachetianum,TRUE,TRUE,FALSE
Abutilon_stenopetalum,TRUE,TRUE,FALSE
Abutilon_thyrsodendron,TRUE,TRUE,FALSE
Abutilon_venosum,TRUE,TRUE,FALSE
Acacia_acradenia,TRUE,TRUE,FALSE
Acacia_acrionastes,TRUE,TRUE,FALSE
Acacia_acuminata,TRUE,TRUE,FALSE
Acacia_adsurgens,TRUE,TRUE,FALSE
Acacia_adunca,TRUE,TRUE,FALSE
Acacia_aestivalis,TRUE,TRUE,FALSE
Acacia_alleniana,TRUE,TRUE,FALSE
Acacia_amblyophylla,TRUE,TRUE,FALSE
Acacia_amentacea,FALSE,FALSE,TRUE
Acacia_ammobia,TRUE,TRUE,FALSE
Acacia_ammophila,TRUE,TRUE,FALSE
Acacia_amoena,FALSE,FALSE,TRUE
Acacia_ampliata,TRUE,TRUE,FALSE
Acacia_ampliceps,TRUE,TRUE,FALSE
Acacia_anastema,TRUE,TRUE,FALSE
Acacia_anaticeps,TRUE,TRUE,FALSE
Acacia_ancistrocarpa,TRUE,TRUE,FALSE
Acacia_aneura,TRUE,TRUE,FALSE
Acacia_anfractuosa,TRUE,TRUE,FALSE
Acacia_angusta,TRUE,TRUE,FALSE
Acacia_anisophylla,FALSE,FALSE,TRUE
Acacia_anthochaera,TRUE,TRUE,FALSE
Acacia_aprepta,TRUE,TRUE,FALSE
Acacia_aptaneura,TRUE,TRUE,FALSE
Acacia_arafurica,TRUE,TRUE,FALSE
Acacia_araneosa,TRUE,TRUE,FALSE
Acacia_arenaria,FALSE,FALSE,TRUE
Acacia_areolata,TRUE,TRUE,FALSE
Acacia_argyrodendron,TRUE,TRUE,FALSE
Acacia_armillata,TRUE,TRUE,FALSE
Acacia_armitii,TRUE,TRUE,FALSE
Acacia_asak,FALSE,FALSE,TRUE
Acacia_assimilis,TRUE,TRUE,FALSE
Acacia_atopa,TRUE,TRUE,FALSE
Acacia_attenuata,TRUE,TRUE,FALSE
Acacia_aulacocarpa,TRUE,TRUE,FALSE
Acacia_auriculiformis,TRUE,TRUE,FALSE
Acacia_auripila,TRUE,TRUE,FALSE
Acacia_ausfeldii,TRUE,TRUE,FALSE
Acacia_axillaris,FALSE,FALSE,TRUE
Acacia_ayersiana,TRUE,TRUE,FALSE
Acacia_baileyana,TRUE,TRUE,FALSE
Acacia_bakeri,TRUE,TRUE,FALSE
Acacia_bancroftiorum,TRUE,TRUE,FALSE
Acacia_barrettiorum,TRUE,TRUE,FALSE
Acacia_beauverdiana,TRUE,TRUE,FALSE
Acacia_binervata,TRUE,TRUE,FALSE
Acacia_binervia,TRUE,TRUE,FALSE
Acacia_blakei,TRUE,TRUE,FALSE
Acacia_blakelyi,TRUE,TRUE,FALSE
Acacia_blayana,TRUE,TRUE,FALSE
Acacia_brachystachya,TRUE,TRUE,FALSE
Acacia_brassii,TRUE,TRUE,FALSE
Acacia_brevispica,FALSE,FALSE,TRUE
Acacia_brockii,TRUE,TRUE,FALSE
Acacia_bromilowiana,TRUE,TRUE,FALSE
Acacia_brumalis,TRUE,TRUE,FALSE
Acacia_bulgaensis,TRUE,TRUE,FALSE
Acacia_burrowii,TRUE,TRUE,FALSE
Acacia_burrowsiana,TRUE,TRUE,FALSE
Acacia_caerulescens,TRUE,TRUE,FALSE
Acacia_caesaneura,TRUE,TRUE,FALSE
Acacia_caesia,FALSE,FALSE,TRUE
Acacia_caesiella,TRUE,TRUE,FALSE
Acacia_calamifolia,TRUE,TRUE,FALSE
Acacia_calcicola,TRUE,TRUE,FALSE
Acacia_cambagei,TRUE,TRUE,FALSE
Acacia_cana,TRUE,TRUE,FALSE
Acacia_cangaiensis,TRUE,TRUE,FALSE
Acacia_cardiophylla,TRUE,TRUE,FALSE
Acacia_carneorum,TRUE,TRUE,FALSE
Acacia_caroleae,TRUE,TRUE,FALSE
Acacia_catenulata,TRUE,TRUE,FALSE
Acacia_celastrifolia,TRUE,TRUE,FALSE
Acacia_celsa,TRUE,TRUE,FALSE
Acacia_chartacea,TRUE,TRUE,FALSE
Acacia_cheelii,TRUE,TRUE,FALSE
Acacia_chiapensis,FALSE,FALSE,TRUE
Acacia_chrysotricha,TRUE,TRUE,FALSE
Acacia_cincinnata,TRUE,TRUE,FALSE
Acacia_citrinoviridis,TRUE,TRUE,FALSE
Acacia_clunies-rossiae,TRUE,TRUE,FALSE
Acacia_cockertoniana,TRUE,TRUE,FALSE
Acacia_cognata,TRUE,TRUE,FALSE
Acacia_colei,TRUE,TRUE,FALSE
Acacia_colletioides,TRUE,TRUE,FALSE
Acacia_complanata,TRUE,TRUE,FALSE
Acacia_concinna,FALSE,FALSE,TRUE
Acacia_concurrens,TRUE,TRUE,FALSE
Acacia_conferta,TRUE,TRUE,FALSE
Acacia_confusa,TRUE,TRUE,FALSE
Acacia_conniana,TRUE,TRUE,FALSE
Acacia_conspersa,TRUE,TRUE,FALSE
Acacia_convallium,TRUE,TRUE,FALSE
Acacia_coolgardiensis,TRUE,TRUE,FALSE
Acacia_coriacea,TRUE,TRUE,FALSE
Acacia_courtii,TRUE,TRUE,FALSE
Acacia_covenyi,TRUE,TRUE,FALSE
Acacia_cowaniana,TRUE,TRUE,FALSE
Acacia_cowleana,TRUE,TRUE,FALSE
Acacia_craspedocarpa,TRUE,TRUE,FALSE
Acacia_crassa,TRUE,TRUE,FALSE
Acacia_crassicarpa,TRUE,TRUE,FALSE
Acacia_crassiuscula,FALSE,FALSE,TRUE
Acacia_crenulata,TRUE,TRUE,FALSE
Acacia_cretacea,TRUE,TRUE,FALSE
Acacia_cretata,TRUE,TRUE,FALSE
Acacia_crombiei,TRUE,TRUE,FALSE
Acacia_cultriformis,FALSE,FALSE,TRUE
Acacia_cuspidifolia,TRUE,TRUE,FALSE
Acacia_cuthbertsonii,TRUE,TRUE,FALSE
Acacia_cyclops,TRUE,TRUE,FALSE
Acacia_cyperophylla,TRUE,TRUE,FALSE
Acacia_dallachiana,TRUE,TRUE,FALSE
Acacia_dangarensis,TRUE,TRUE,FALSE
Acacia_davyi,FALSE,FALSE,TRUE
Acacia_dawsonii,TRUE,TRUE,FALSE
Acacia_dealbata,TRUE,TRUE,FALSE
Acacia_deanei,TRUE,TRUE,FALSE
Acacia_debilis,TRUE,TRUE,FALSE
Acacia_decora,FALSE,FALSE,TRUE
Acacia_decurrens,TRUE,TRUE,FALSE
Acacia_delibrata,TRUE,TRUE,FALSE
Acacia_demissa,TRUE,TRUE,FALSE
Acacia_dempsteri,TRUE,TRUE,FALSE
Acacia_dentifera,TRUE,TRUE,FALSE
Acacia_desertorum,TRUE,TRUE,FALSE
Acacia_desmondii,TRUE,TRUE,FALSE
Acacia_didyma,TRUE,TRUE,FALSE
Acacia_dietrichiana,TRUE,TRUE,FALSE
Acacia_difficilis,TRUE,TRUE,FALSE
Acacia_difformis,TRUE,TRUE,FALSE
Acacia_disparrima,TRUE,TRUE,FALSE
Acacia_distans,TRUE,TRUE,FALSE
Acacia_dodonaeifolia,TRUE,TRUE,FALSE
Acacia_dolichophylla,TRUE,TRUE,FALSE
Acacia_donaldsonii,TRUE,TRUE,FALSE
Acacia_doratoxylon,TRUE,TRUE,FALSE
Acacia_drepanophylla,TRUE,TRUE,FALSE
Acacia_dunnii,TRUE,TRUE,FALSE
Acacia_duriuscula,TRUE,TRUE,FALSE
Acacia_echinuliflora,TRUE,TRUE,FALSE
Acacia_effusifolia,TRUE,TRUE,FALSE
Acacia_elachantha,TRUE,TRUE,FALSE
Acacia_elata,TRUE,TRUE,FALSE
Acacia_elongata,TRUE,TRUE,FALSE
Acacia_enervia,TRUE,TRUE,FALSE
Acacia_ensifolia,TRUE,TRUE,FALSE
Acacia_ephedroides,TRUE,TRUE,FALSE
Acacia_eremaea,TRUE,TRUE,FALSE
Acacia_eriopoda,TRUE,TRUE,FALSE
Acacia_erubescens,FALSE,FALSE,TRUE
Acacia_estrophiolata,TRUE,TRUE,FALSE
Acacia_excelsa,TRUE,TRUE,FALSE
Acacia_exudans,TRUE,TRUE,FALSE
Acacia_falcata,TRUE,TRUE,FALSE
Acacia_falciformis,TRUE,TRUE,FALSE
Acacia_fasciculifera,TRUE,TRUE,FALSE
Acacia_fauntleroyi,TRUE,TRUE,FALSE
Acacia_filicifolia,TRUE,TRUE,FALSE
Acacia_filifolia,TRUE,TRUE,FALSE
Acacia_fimbriata,TRUE,TRUE,FALSE
Acacia_flavescens,TRUE,TRUE,FALSE
Acacia_fleckeri,TRUE,TRUE,FALSE
Acacia_fleckii,FALSE,FALSE,TRUE
Acacia_flocktoniae,TRUE,TRUE,FALSE
Acacia_floribunda,TRUE,TRUE,FALSE
Acacia_floydii,TRUE,TRUE,FALSE
Acacia_frigescens,TRUE,TRUE,FALSE
Acacia_fulva,TRUE,TRUE,FALSE
Acacia_fuscaneura,TRUE,TRUE,FALSE
Acacia_galeata,TRUE,TRUE,FALSE
Acacia_gardneri,TRUE,TRUE,FALSE
Acacia_georgensis,TRUE,TRUE,FALSE
Acacia_georginae,TRUE,TRUE,FALSE
Acacia_gerrardii,FALSE,FALSE,TRUE
Acacia_gibbosa,TRUE,TRUE,FALSE
Acacia_gillii,TRUE,TRUE,FALSE
Acacia_glaucocaesia,TRUE,TRUE,FALSE
Acacia_glaucocarpa,TRUE,TRUE,FALSE
Acacia_gnidium,TRUE,TRUE,FALSE
Acacia_goetzei,FALSE,FALSE,TRUE
Acacia_gonocarpa,TRUE,TRUE,FALSE
Acacia_gonoclada,TRUE,TRUE,FALSE
Acacia_grandifolia,TRUE,TRUE,FALSE
Acacia_grasbyi,TRUE,TRUE,FALSE
Acacia_gummifera,FALSE,FALSE,TRUE
Acacia_hakeoides,TRUE,TRUE,FALSE
Acacia_hamersleyensis,TRUE,TRUE,FALSE
Acacia_hammondii,TRUE,TRUE,FALSE
Acacia_hamulosa,FALSE,FALSE,TRUE
Acacia_harpophylla,TRUE,TRUE,FALSE
Acacia_havilandiorum,TRUE,TRUE,FALSE
Acacia_hebeclada,FALSE,FALSE,TRUE
Acacia_hemignosta,TRUE,TRUE,FALSE
Acacia_hemsleyi,TRUE,TRUE,FALSE
Acacia_heteroclita,TRUE,TRUE,FALSE
Acacia_heterophylla,TRUE,TRUE,FALSE
Acacia_holosericea,TRUE,TRUE,FALSE
Acacia_holotricha,TRUE,TRUE,FALSE
Acacia_homaloclada,FALSE,FALSE,TRUE
Acacia_howittii,TRUE,TRUE,FALSE
Acacia_hydaspica,FALSE,FALSE,TRUE
Acacia_hylonoma,TRUE,TRUE,FALSE
Acacia_implexa,TRUE,TRUE,FALSE
Acacia_inaequilatera,TRUE,TRUE,FALSE
Acacia_inceana,TRUE,TRUE,FALSE
Acacia_incurvaneura,TRUE,TRUE,FALSE
Acacia_ingramii,TRUE,TRUE,FALSE
Acacia_inophloia,TRUE,TRUE,FALSE
Acacia_intorta,TRUE,TRUE,FALSE
Acacia_irrorata,TRUE,TRUE,FALSE
Acacia_islana,TRUE,TRUE,FALSE
Acacia_ixodes,TRUE,TRUE,FALSE
Acacia_jamesiana,TRUE,TRUE,FALSE
Acacia_jasperensis,TRUE,TRUE,FALSE
Acacia_jennerae,TRUE,TRUE,FALSE
Acacia_jensenii,TRUE,TRUE,FALSE
Acacia_jibberdingensis,TRUE,TRUE,FALSE
Acacia_jucunda,TRUE,TRUE,FALSE
Acacia_julifera,TRUE,TRUE,FALSE
Acacia_kauaiensis,TRUE,TRUE,FALSE
Acacia_kelleri,TRUE,TRUE,FALSE
Acacia_kempeana,TRUE,TRUE,FALSE
Acacia_kenneallyi,TRUE,TRUE,FALSE
Acacia_kettlewelliae,TRUE,TRUE,FALSE
Acacia_koa,TRUE,TRUE,FALSE
Acacia_koaia,TRUE,TRUE,FALSE
Acacia_kuhlmannii,FALSE,FALSE,TRUE
Acacia_lacertensis,TRUE,TRUE,FALSE
Acacia_lamprocarpa,TRUE,TRUE,FALSE
Acacia_lasiocalyx,TRUE,TRUE,FALSE
Acacia_latescens,TRUE,TRUE,FALSE
Acacia_latifolia,TRUE,TRUE,FALSE
Acacia_latior,TRUE,TRUE,FALSE
Acacia_latzii,TRUE,TRUE,FALSE
Acacia_leeuweniana,TRUE,TRUE,FALSE
Acacia_legnota,TRUE,TRUE,FALSE
Acacia_leiocalyx,TRUE,TRUE,FALSE
Acacia_leiophylla,TRUE,TRUE,FALSE
Acacia_leprosa,TRUE,TRUE,FALSE
Acacia_leptocarpa,TRUE,TRUE,FALSE
Acacia_leptoloba,TRUE,TRUE,FALSE
Acacia_leptopetala,TRUE,TRUE,FALSE
Acacia_leptostachya,TRUE,TRUE,FALSE
Acacia_leucoclada,TRUE,TRUE,FALSE
Acacia_ligulata,TRUE,TRUE,FALSE
Acacia_ligustrina,TRUE,TRUE,FALSE
Acacia_linearifolia,TRUE,TRUE,FALSE
Acacia_linifolia,TRUE,TRUE,FALSE
Acacia_loderi,TRUE,TRUE,FALSE
Acacia_longifolia,TRUE,TRUE,FALSE
Acacia_longiphyllodinea,TRUE,TRUE,FALSE
Acacia_longispicata,TRUE,TRUE,FALSE
Acacia_longispinea,TRUE,TRUE,FALSE
Acacia_longissima,TRUE,TRUE,FALSE
Acacia_loroloba,TRUE,TRUE,FALSE
Acacia_lunata,TRUE,TRUE,FALSE
Acacia_mabellae,TRUE,TRUE,FALSE
Acacia_macdonnellensis,TRUE,TRUE,FALSE
Acacia_macilenta,FALSE,FALSE,TRUE
Acacia_maconochieana,TRUE,TRUE,FALSE
Acacia_macradenia,TRUE,TRUE,FALSE
Acacia_maidenii,TRUE,TRUE,FALSE
Acacia_mangium,TRUE,TRUE,FALSE
Acacia_maranoensis,TRUE,TRUE,FALSE
Acacia_marramamba,TRUE,TRUE,FALSE
Acacia_masliniana,TRUE,TRUE,FALSE
Acacia_matthewii,TRUE,TRUE,FALSE
Acacia_mearnsii,TRUE,TRUE,FALSE
Acacia_megaladena,FALSE,FALSE,TRUE
Acacia_meiosperma,TRUE,TRUE,FALSE
Acacia_melanoxylon,TRUE,TRUE,FALSE
Acacia_mellifera,FALSE,FALSE,TRUE
Acacia_melvillei,TRUE,TRUE,FALSE
Acacia_menabeensis,FALSE,FALSE,TRUE
Acacia_merinthophora,TRUE,TRUE,FALSE
Acacia_microbotrya,TRUE,TRUE,FALSE
Acacia_microcarpa,FALSE,FALSE,TRUE
Acacia_microcybe,TRUE,TRUE,FALSE
Acacia_microsperma,TRUE,TRUE,FALSE
Acacia_midgleyi,TRUE,TRUE,FALSE
Acacia_mimula,TRUE,TRUE,FALSE
Acacia_minyura,TRUE,TRUE,FALSE
Acacia_modesta,FALSE,FALSE,TRUE
Acacia_mollifolia,TRUE,TRUE,FALSE
Acacia_montana,TRUE,TRUE,FALSE
Acacia_monticola,TRUE,TRUE,FALSE
Acacia_mountfordiae,TRUE,TRUE,FALSE
Acacia_mucronata,TRUE,TRUE,FALSE
Acacia_muelleriana,TRUE,TRUE,FALSE
Acacia_mulganeura,TRUE,TRUE,FALSE
Acacia_multisiliqua,TRUE,TRUE,FALSE
Acacia_multistipulosa,TRUE,TRUE,FALSE
Acacia_murrayana,TRUE,TRUE,FALSE
Acacia_myrmecophila,FALSE,FALSE,TRUE
Acacia_myrtifolia,FALSE,FALSE,TRUE
Acacia_nanodealbata,TRUE,TRUE,FALSE
Acacia_neriifolia,TRUE,TRUE,FALSE
Acacia_neurocarpa,TRUE,TRUE,FALSE
Acacia_neurophylla,TRUE,TRUE,FALSE
Acacia_nyssophylla,TRUE,TRUE,FALSE
Acacia_obliquinervia,TRUE,TRUE,FALSE
Acacia_obtusifolia,TRUE,TRUE,FALSE
Acacia_occidentalis,FALSE,FALSE,TRUE
Acacia_oerfota,FALSE,FALSE,TRUE
Acacia_oldfieldii,TRUE,TRUE,FALSE
Acacia_olgana,TRUE,TRUE,FALSE
Acacia_oligoneura,FALSE,FALSE,TRUE
Acacia_olsenii,TRUE,TRUE,FALSE
Acacia_omalophylla,TRUE,TRUE,FALSE
Acacia_ommatosperma,TRUE,TRUE,FALSE
Acacia_oncinocarpa,FALSE,FALSE,TRUE
Acacia_oncinophylla,FALSE,FALSE,TRUE
Acacia_oraria,TRUE,TRUE,FALSE
Acacia_orites,TRUE,TRUE,FALSE
Acacia_orthocarpa,TRUE,TRUE,FALSE
Acacia_oshanesii,TRUE,TRUE,FALSE
Acacia_oswaldii,TRUE,TRUE,FALSE
Acacia_ouyrarema,FALSE,TRUE,FALSE
Acacia_oxycedrus,TRUE,TRUE,FALSE
Acacia_pachyacra,TRUE,TRUE,FALSE
Acacia_pachycarpa,TRUE,TRUE,FALSE
Acacia_pachyceras,TRUE,TRUE,FALSE
Acacia_palustris,TRUE,TRUE,FALSE
Acacia_papyrocarpa,TRUE,TRUE,FALSE
Acacia_paradoxa,TRUE,TRUE,FALSE
Acacia_paraneura,TRUE,TRUE,FALSE
Acacia_parramattensis,TRUE,TRUE,FALSE
Acacia_parviflora,FALSE,FALSE,TRUE
Acacia_parvipinnula,TRUE,TRUE,FALSE
Acacia_pataczekii,TRUE,TRUE,FALSE
Acacia_pedleyi,TRUE,TRUE,FALSE
Acacia_pellita,TRUE,TRUE,FALSE
Acacia_pendula,TRUE,TRUE,FALSE
Acacia_peninsularis,FALSE,FALSE,TRUE
Acacia_pennata,FALSE,FALSE,TRUE
Acacia_penninervis,TRUE,TRUE,FALSE
Acacia_pentadenia,TRUE,TRUE,FALSE
Acacia_pentagona,FALSE,FALSE,TRUE
Acacia_petraea,TRUE,TRUE,FALSE
Acacia_peuce,TRUE,TRUE,FALSE
Acacia_phlebophylla,TRUE,TRUE,FALSE
Acacia_pickardii,TRUE,TRUE,FALSE
Acacia_platycarpa,TRUE,TRUE,FALSE
Acacia_plectocarpa,TRUE,TRUE,FALSE
Acacia_podalyriifolia,TRUE,TRUE,FALSE
Acacia_polifolia,TRUE,TRUE,FALSE
Acacia_polyadenia,TRUE,TRUE,FALSE
Acacia_polybotrya,TRUE,TRUE,FALSE
Acacia_polystachya,TRUE,TRUE,FALSE
Acacia_praelongata,TRUE,TRUE,FALSE
Acacia_prainii,TRUE,TRUE,FALSE
Acacia_pravissima,TRUE,TRUE,FALSE
Acacia_proiantha,TRUE,TRUE,FALSE
Acacia_prominens,TRUE,TRUE,FALSE
Acacia_pruinocarpa,TRUE,TRUE,FALSE
Acacia_pteraneura,TRUE,TRUE,FALSE
Acacia_pteridifolia,FALSE,FALSE,TRUE
Acacia_pubescens,TRUE,TRUE,FALSE
Acacia_pubicosta,TRUE,TRUE,FALSE
Acacia_pubifolia,TRUE,TRUE,FALSE
Acacia_pubirhachis,TRUE,TRUE,FALSE
Acacia_pulchella,TRUE,TRUE,FALSE
Acacia_pustula,TRUE,TRUE,FALSE
Acacia_pycnantha,TRUE,TRUE,FALSE
Acacia_pycnostachya,TRUE,TRUE,FALSE
Acacia_pyrifolia,TRUE,TRUE,FALSE
Acacia_quadrimarginea,TRUE,TRUE,FALSE
Acacia_racospermoides,TRUE,TRUE,FALSE
Acacia_ramulosa,TRUE,TRUE,FALSE
Acacia_redolens,TRUE,TRUE,FALSE
Acacia_rehmanniana,FALSE,FALSE,TRUE
Acacia_resinimarginea,TRUE,TRUE,FALSE
Acacia_resinistipulea,TRUE,TRUE,FALSE
Acacia_retinervis,TRUE,TRUE,FALSE
Acacia_retinodes,TRUE,TRUE,FALSE
Acacia_retusa,FALSE,FALSE,TRUE
Acacia_rhodophloia,TRUE,TRUE,FALSE
Acacia_rhodoxylon,TRUE,TRUE,FALSE
Acacia_riceana,TRUE,TRUE,FALSE
Acacia_rigens,TRUE,TRUE,FALSE
Acacia_rigidula,FALSE,FALSE,TRUE
Acacia_riparia,FALSE,FALSE,TRUE
Acacia_rivalis,TRUE,TRUE,FALSE
Acacia_robusta,FALSE,FALSE,TRUE
Acacia_roemeriana,FALSE,FALSE,TRUE
Acacia_rostellifera,TRUE,TRUE,FALSE
Acacia_rostriformis,TRUE,TRUE,FALSE
Acacia_rothii,TRUE,TRUE,FALSE
Acacia_rovumae,FALSE,FALSE,TRUE
